Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (False, 'Zirk', 'Arun', 'AnZirk252', 'Zirk.Arun@calpoly.com', 'Zirk90', 148, 46, 149)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (True, 'Albertson', 'Wyne', 'AnWyne93', 'Albertson.Wyne@zoho.com', 'Albertson95', 0, 50, 254)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (False, 'Frank', 'Mark', 'MkFrank189', 'Frank.Mark@calpoly.com', 'Frank160', 220, 1, 170)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (False, 'Franky', 'Ron', 'RnFranky26', 'Franky.Ron@inbox.com', 'Franky280', 110, 229, 282)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (True, 'Tay', 'Debra', 'DaTay189', 'Tay.Debra@inbox.com', 'Tay49', 14, 1, 154)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (False, 'Jay', 'Neima', 'JyNeima298', 'Jay.Neima@outlook.com', 'Jay89', 28, 117, 57)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (False, 'Mike', 'Schmit', 'StMike51', 'Mike.Schmit@sprynet.com', 'Mike253', 173, 297, 168)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (True, 'Arpon', 'Ahn', 'AnAhn285', 'Arpon.Ahn@calpoly.com', 'Arpon227', 23, 112, 43)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (True, 'Adam', 'Natalie', 'AmNatalie54', 'Adam.Natalie@gmail.com', 'Adam192', 74, 249, 23)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (False, 'Arf', 'Jessica', 'JaArf45', 'Arf.Jessica@gmail.com', 'Arf136', 198, 144, 241)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (True, 'Zog', 'Jon', 'ZgJon294', 'Zog.Jon@calpoly.com', 'Zog41', 142, 86, 72)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (True, 'Ronny', 'Jessica', 'RyJessica140', 'Ronny.Jessica@outlook.com', 'Ronny118', 33, 157, 15)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (True, 'Bart', 'Bart', 'BtBart245', 'Bart.Bart@yahoo.com', 'Bart133', 229, 138, 287)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (True, 'Reece', 'Ann', 'ReAnn82', 'Reece.Ann@yahoo.com', 'Reece144', 22, 125, 48)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (True, 'Nat', 'Goergeson', 'GnNat105', 'Nat.Goergeson@outlook.com', 'Nat145', 150, 200, 273)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (False, 'Mark', 'Dirk', 'DkMark57', 'Mark.Dirk@inbox.com', 'Mark279', 185, 59, 53)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (True, 'Tunchi', 'Sammy', 'SyTunchi163', 'Tunchi.Sammy@inbox.com', 'Tunchi162', 19, 77, 199)
Insert into User (Priv, firstName, lastName, username, email, password, scorea, scoreb, scorec) values (True, 'Tom', 'Zirk', 'ZkTom232', 'Tom.Zirk@inbox.com', 'Tom120', 187, 232, 236)
